uniqueID,wudget,quantityAdj,pricePer,totalPricePaid,totalTaxesPaid,shipPrice,listPrice,currencyID,categoryID,listingType,auction,quantityBid,startTime,endTime,fixedTime,day,gmtHour,shippedTime,totalFeedbackN,positiveFeedbackPercent,city,state,postalCode,conditionInfo,orderStatus
11,A,1,19.95,19.95,0,0,19.95,USD,175837,FixedPriceItem,FALSE,0,6/5/19 2:55,6/5/19 2:30,6/5/19 2:30,Wednesday,2:00 AM,6/5/19 11:56,764,100,Milwaukee,Wisconsin,53210,Used,D
12,A,1,19.89,19.89,0,4.39,15.5,USD,175837,Chinese,TRUE,2,4/4/19 20:38,4/4/19 20:38,4/4/19 20:38,Thursday,8:00 PM,4/10/19 12:36,156,100,Genoa City,Wisconsin,53128,Used,D
13,A,1,19.89,19.89,0,4.39,15.5,USD,175837,FixedPriceItem,FALSE,0,4/28/19 18:11,4/28/19 18:23,4/28/19 18:23,Sunday,6:00 PM,4/28/19 20:35,582,100,Madison,Wisconsin,53705,Used,D
14,A,1,19.38,19.38,0,4.39,14.99,USD,175837,FixedPriceItem,FALSE,0,6/9/19 16:43,6/9/19 16:47,6/9/19 16:47,Sunday,4:00 PM,6/10/19 18:21,10296,99.5,Hartland,Wisconsin,53029,Used,D
15,A,1,18.74,18.74,0,3.74,15,USD,175837,Chinese,FALSE,1,4/17/19 2:25,4/17/19 2:25,4/17/19 2:25,Wednesday,2:00 AM,4/17/19 12:29,191,100,Holmen,Wisconsin,54636,Used,D
16,A,1,14.95,14.95,0,0,14.95,USD,175837,FixedPriceItem,FALSE,0,6/6/19 23:59,6/7/19 0:05,6/7/19 0:05,Friday,12:00 AM,6/7/19 8:49,1509,98.4,Green Bay,Wisconsin,54304,Used,D
17,A,1,19.49,19.49,0,4.49,15,USD,175837,Chinese,FALSE,1,3/30/19 17:21,3/30/19 17:21,3/30/19 17:21,Saturday,5:00 PM,3/31/19 5:25,0,0,Morgantown,West Virginia,26505,Used,D
18,A,1,18.24,18.24,0,3.25,14.99,USD,2228,FixedPriceItem,FALSE,0,5/20/19 19:15,5/20/19 19:28,5/20/19 19:28,Monday,7:00 PM,5/21/19 19:22,701,99.3,Princeton,West Virginia,24740,Like New,D
19,A,5,19.15,95.75,0,15.75,80,USD,175837,FixedPriceItem,FALSE,0,5/17/19 19:55,5/17/19 20:39,5/17/19 20:39,Friday,8:00 PM,\N,62,95.5,Albion,Washington,99102,Used,D
20,C,2,13.065,26.13,0,6.13,20,USD,9972,FixedPriceItem,FALSE,0,5/26/19 15:55,5/27/19 20:20,,Saturday,12:00 AM,5/31/19 9:49,65,95.7,Albion,Washington,99102,Used,D
21,C,1,24.99,24.99,0,0,24.99,USD,9972,FixedPriceItem,FALSE,0,4/27/19 21:41,4/27/19 21:45,,Saturday,12:00 AM,4/28/19 23:21,27,100,Seattle,Washington,98188,Used,D
22,P,1,24.44,24.44,0,3.94,20.5,USD,175837,Chinese,TRUE,7,3/1/19 0:05,3/1/19 0:05,3/1/19 0:05,Friday,12:00 AM,3/9/19 7:22,2311,100,Seattle,Washington,98168,Used,D
23,A,1,20.24,20.24,0,3.24,17,USD,175837,Chinese,FALSE,1,1/11/19 23:24,1/11/19 23:24,1/11/19 23:24,Friday,11:00 PM,1/15/19 0:16,884,100,Seattle,Washington,98122,Used,D
24,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,4/15/19 18:08,4/15/19 18:08,4/15/19 18:08,Monday,6:00 PM,4/15/19 20:19,5306,100,Oroville,Washington,98844,Open box,D
25,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,2/21/19 17:22,2/21/19 17:22,2/21/19 17:22,Thursday,5:00 PM,2/22/19 21:32,25,100,Vancouver,Washington,98683,Used,D
26,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,3/1/19 21:26,3/1/19 21:26,3/1/19 21:26,Friday,9:00 PM,3/1/19 21:54,3248,99.6,Woodinville,Washington,98072,Used,D
27,A,1,19.98,19.98,0,2.99,16.99,USD,175837,FixedPriceItem,FALSE,0,3/3/19 2:21,3/3/19 2:21,3/3/19 2:21,Sunday,2:00 AM,3/3/19 2:58,117,96.8,Everett,Washington,98208,Used,D
28,A,1,19.95,19.95,0,0,19.95,USD,175837,FixedPriceItem,FALSE,0,5/22/19 18:30,5/22/19 18:34,5/22/19 18:34,Wednesday,6:00 PM,5/22/19 23:11,647,99.2,Spokane,Washington,99223,Used,D
29,A,1,18,18,0,0,18,USD,175837,FixedPriceItem,FALSE,0,5/8/19 17:57,5/8/19 18:02,5/8/19 18:02,Wednesday,6:00 PM,5/9/19 23:33,328,100,Spokane,Washington,99202,Used,D
30,A,1,18,18,0,0,18,USD,175837,FixedPriceItem,FALSE,0,4/16/19 20:13,4/16/19 20:13,4/16/19 20:13,Tuesday,8:00 PM,4/16/19 23:44,1483,100,Lynnwood,Washington,98036,Used,D
31,A,1,17.99,17.99,0,3,14.99,USD,175837,Chinese,FALSE,1,3/12/19 2:30,3/12/19 2:30,3/12/19 2:30,Tuesday,2:00 AM,3/19/19 2:49,23148,99.6,Vancouver,Washington,98682,Used,D
32,A,1,15.69,15.69,0,4.69,11,USD,175837,Chinese,FALSE,1,6/4/19 18:58,6/4/19 19:02,6/4/19 19:02,Tuesday,7:00 PM,6/5/19 8:49,3,100,Puyallup,Washington,98374,Used,D
33,A,1,15,15,0,0.01,15,USD,175837,FixedPriceItem,FALSE,0,4/26/19 7:43,4/26/19 7:48,4/26/19 7:48,Friday,7:00 AM,4/26/19 21:48,57,98.3,Albion,Washington,99102,Used,D
34,A,1,14.95,14.95,0,0,14.95,USD,175837,FixedPriceItem,FALSE,0,7/5/19 18:04,7/5/19 18:19,7/5/19 18:19,Friday,6:00 PM,7/6/19 1:51,2275,99.6,Spokane,Washington,99203,Used,O
35,A,1,14.95,14.95,0,0,14.95,USD,175837,FixedPriceItem,FALSE,0,7/3/19 18:18,7/3/19 18:23,7/3/19 18:23,Wednesday,6:00 PM,7/3/19 21:13,2274,99.6,Spokane,Washington,99203,Used,O
36,A,1,19.99,19.99,0,0,19.99,USD,61312,FixedPriceItem,FALSE,0,1/17/19 19:33,1/17/19 19:33,1/17/19 19:33,Thursday,7:00 PM,1/17/19 19:55,11343,99.8,Woodinville,Washington,\N,Used,D
37,A,1,20.5,20.5,0,7.5,13,USD,175837,FixedPriceItem,FALSE,0,2/27/19 16:38,2/27/19 16:38,2/27/19 16:38,Wednesday,4:00 PM,2/27/19 19:58,81,100,Ashland,Virginia,23005,Used,D
38,A,1,20,20,0,0,20,USD,175837,Chinese,FALSE,1,3/19/19 15:42,3/19/19 15:42,3/19/19 15:42,Tuesday,3:00 PM,3/20/19 14:59,29,100,Blacksburg,Virginia,24060,Used,D
39,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,5/7/19 18:43,5/7/19 18:48,5/7/19 18:48,Tuesday,6:00 PM,5/7/19 19:00,174,0,Richmond,Virginia,23236,Used,D
40,A,1,20,20,0,3,17,USD,2228,FixedPriceItem,FALSE,0,1/8/19 15:08,1/8/19 15:08,1/8/19 15:08,Tuesday,3:00 PM,\N,106,0,Fredericksburg,Virginia,22408,Like New,D
41,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,3/28/19 17:08,3/28/19 17:08,3/28/19 17:08,Thursday,5:00 PM,3/28/19 18:30,47,100,Reston,Virginia,20190,Used,D
42,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/5/19 22:25,5/8/19 13:10,5/8/19 13:10,Wednesday,1:00 PM,5/8/19 14:06,375,99.3,Woodbridge,Virginia,22191,Open box,D
43,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/28/19 0:17,5/28/19 0:21,5/28/19 0:21,Tuesday,12:00 AM,5/30/19 6:28,931,99.7,Lorton,Virginia,22079,Used,D
44,A,1,19.49,19.49,0,4.49,15,USD,175837,FixedPriceItem,FALSE,0,6/11/19 2:03,6/11/19 2:13,6/11/19 2:13,Tuesday,2:00 AM,6/11/19 10:55,27,100,Vinton,Virginia,24179,Used,D
45,A,1,18.5,18.5,0,8,10.5,USD,175837,Chinese,TRUE,2,5/31/19 13:13,6/7/19 13:13,6/7/19 13:13,Friday,1:00 PM,6/8/19 0:34,7,100,Chesapeake,Virginia,23322,Used,D
46,A,1,16,16,0,0,16,USD,2228,FixedPriceItem,FALSE,0,4/3/19 21:11,4/3/19 21:11,4/3/19 21:11,Wednesday,9:00 PM,4/5/19 18:31,22,100,Springfield,Virginia,22153,Like New,D
47,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,6/11/19 0:04,6/11/19 0:09,6/11/19 0:09,Tuesday,12:00 AM,6/12/19 2:38,368,99.4,Provo,Utah,84604,Used,D
48,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,3/15/19 20:28,3/15/19 20:28,3/15/19 20:28,Friday,8:00 PM,3/16/19 16:56,15438,99.4,Draper,Utah,84020,Used,D
49,A,1,19.97,19.97,0,0,19.97,USD,175837,FixedPriceItem,FALSE,0,5/19/19 2:56,5/19/19 3:00,5/19/19 3:00,Sunday,3:00 AM,5/19/19 13:35,379,100,St. George,Utah,84790,Used,D
50,A,1,13.99,13.99,0,0,13.99,USD,175837,FixedPriceItem,FALSE,0,1/12/19 3:41,1/12/19 3:41,1/12/19 3:41,Saturday,3:00 AM,1/12/19 6:36,70,98.6,Hyrum,Utah,84319,Used,D
51,A,26,10.30769231,268,0,18,250,USD,175837,FixedPriceItem,FALSE,0,4/13/19 18:25,4/13/19 18:25,4/13/19 18:25,Saturday,6:00 PM,4/13/19 20:03,364,100,San Antonio,Texas,78239,Used,D
52,C,1,29.5,29.5,0,0,29.5,USD,9972,FixedPriceItem,FALSE,0,3/4/19 2:17,4/15/19 18:08,,Saturday,12:00 AM,3/4/19 18:25,166,100,Houston,Texas,77082,Used,D
53,C,1,24.99,24.99,0,0,24.99,USD,9972,FixedPriceItem,FALSE,0,6/29/19 15:31,6/29/19 15:41,,Saturday,12:00 AM,6/30/19 21:16,3580,100,Boerne,Texas,78006,Used,O
54,C,1,24.98,24.98,0,4.99,19.99,USD,9972,FixedPriceItem,FALSE,0,5/22/19 20:24,5/22/19 20:32,,Saturday,12:00 AM,5/23/19 5:18,3361,98.8,Mount Vernon,Texas,75457,Used,D
55,A,1,20.52,20.52,0,4.53,15.99,USD,2228,FixedPriceItem,FALSE,0,2/24/19 17:08,2/24/19 17:08,2/24/19 17:08,Sunday,5:00 PM,3/9/19 18:10,1,100,Cleburne,Texas,76033,Very Good,D
56,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,5/23/19 3:15,5/23/19 3:20,5/23/19 3:20,Thursday,3:00 AM,5/24/19 0:27,4,100,Austin,Texas,78751,Used,D
57,A,1,20,20,0,0,20,USD,102955,FixedPriceItem,FALSE,0,2/14/19 3:32,2/14/19 3:32,2/14/19 3:32,Thursday,3:00 AM,2/28/19 15:23,286,100,Woodway,Texas,76712,Pre-owned,D
58,A,1,20,20,0,3.5,16.5,USD,175837,FixedPriceItem,FALSE,0,3/10/19 2:28,3/10/19 2:28,3/10/19 2:28,Sunday,2:00 AM,3/10/19 13:55,282,100,College Station,Texas,77840,Used,D
59,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,4/29/19 2:44,4/29/19 2:49,4/29/19 2:49,Monday,2:00 AM,4/29/19 15:53,9,100,College Station,Texas,77840,Used,D
60,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/10/19 1:02,5/10/19 1:07,5/10/19 1:07,Friday,1:00 AM,5/10/19 11:42,77,100,Austin,Texas,78727,Used,D
61,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/15/19 21:22,5/15/19 21:25,5/15/19 21:25,Wednesday,9:00 PM,5/16/19 5:35,3823,99.3,Burleson,Texas,76028,Used,D
62,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,4/3/19 23:49,4/3/19 23:49,4/3/19 23:49,Wednesday,11:00 PM,4/6/19 9:41,0,0,San Antonio,Texas,78216,Used,D
63,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/25/19 1:49,5/25/19 1:53,5/25/19 1:53,Saturday,1:00 AM,5/29/19 3:32,15,100,San Antonio,Texas,78249,New,D
64,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/27/19 19:29,5/27/19 19:34,5/27/19 19:34,Monday,7:00 PM,5/28/19 20:41,17,100,Bryan,Texas,77807,Used,D
65,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,3/3/19 18:36,3/3/19 18:36,3/3/19 18:36,Sunday,6:00 PM,3/4/19 8:08,472,98.8,Dallas,Texas,75217,Used,D
66,A,1,19.87,19.87,0,4.57,15.3,USD,175837,FixedPriceItem,FALSE,0,6/9/19 18:01,6/9/19 18:05,6/9/19 18:05,Sunday,6:00 PM,6/14/19 1:07,35,100,San Antonio,Texas,78216,Used,O
67,A,1,19.57,19.57,0,4.57,15,USD,175837,FixedPriceItem,FALSE,0,3/29/19 18:04,3/29/19 18:04,3/29/19 18:04,Friday,6:00 PM,3/29/19 23:23,231,100,Edinburg,Texas,78542,Used,D
68,A,1,19.53,19.53,0,4.53,15,USD,175837,FixedPriceItem,FALSE,0,3/7/19 5:52,3/7/19 5:52,3/7/19 5:52,Thursday,5:00 AM,3/12/19 4:19,6,87.5,Austin,Texas,78705,Used,D
69,A,1,19.33,19.33,0,4.53,14.8,USD,175837,FixedPriceItem,FALSE,0,6/10/19 23:49,6/10/19 23:53,6/10/19 23:53,Monday,11:00 PM,6/12/19 16:45,1,100,Allen,Texas,75002,Used,D
70,A,1,19,19,0,0,19,USD,175837,FixedPriceItem,FALSE,0,3/31/19 20:44,3/31/19 20:44,3/31/19 20:44,Sunday,8:00 PM,4/2/19 12:37,3613,98.8,Port Neches,Texas,77651,Used,D
71,A,1,18.99,18.99,0,0,18.99,USD,2228,FixedPriceItem,FALSE,0,3/18/19 18:33,3/18/19 18:33,3/18/19 18:33,Monday,6:00 PM,3/18/19 20:48,42,0,New Braunfels,Texas,78132,Like New,D
72,A,1,18.5,18.5,0,3.5,15,USD,175837,Chinese,FALSE,1,6/3/19 22:06,6/3/19 22:10,6/3/19 22:10,Monday,10:00 PM,6/4/19 23:28,167,100,College Station,Texas,77840,Used,D
73,A,1,18.5,18.5,0,7.5,11,USD,175837,FixedPriceItem,FALSE,0,6/10/19 0:51,6/10/19 0:58,6/10/19 0:58,Monday,12:00 AM,6/11/19 22:18,366,99.2,Moody,Texas,76557,Used,D
74,A,1,17.95,17.95,0,0,17.95,USD,175837,FixedPriceItem,FALSE,0,5/9/19 1:50,5/9/19 2:05,5/9/19 2:05,Thursday,2:00 AM,5/9/19 21:29,3812,99.3,Burleson,Texas,76028,Used,D
75,A,1,17,17,0,0,17,USD,175837,FixedPriceItem,FALSE,0,6/26/19 21:24,6/26/19 21:41,6/26/19 21:41,Wednesday,9:00 PM,6/27/19 23:59,244,97.7,San Antonio,Texas,78250,Used,O
76,A,1,16.73,16.73,0,4.53,12.2,USD,175837,Chinese,TRUE,2,3/5/19 4:50,3/5/19 4:50,3/5/19 4:50,Tuesday,4:00 AM,3/21/19 20:43,2,100,Austin,Texas,78701,Used,D
77,A,1,15,15,0,4,11,USD,175837,Chinese,TRUE,2,3/14/19 17:11,3/14/19 17:11,3/14/19 17:11,Thursday,5:00 PM,3/21/19 23:55,1064,100,San Antonio,Texas,78240,Used,D
78,A,1,15,15,0,0,15,USD,175837,FixedPriceItem,FALSE,0,3/11/19 2:10,3/11/19 2:10,3/11/19 2:10,Monday,2:00 AM,3/11/19 2:15,380,100,San Antonio,Texas,78230,Used,D
79,A,1,14.99,14.99,0,0,14.99,USD,175837,FixedPriceItem,FALSE,0,3/27/19 21:09,3/27/19 21:09,3/27/19 21:09,Wednesday,9:00 PM,3/27/19 21:15,1399,99.5,Houston,Texas,77074,Used,D
80,A,1,14.99,14.99,0,0,14.99,USD,175837,FixedPriceItem,FALSE,0,5/7/19 20:50,5/7/19 20:55,5/7/19 20:55,Tuesday,8:00 PM,5/9/19 3:13,1600,100,San Antonio,Texas,78249,Used,D
81,A,1,14.98,14.98,0,4.99,9.99,USD,175837,FixedPriceItem,FALSE,0,2/2/19 17:04,2/2/19 17:04,2/2/19 17:04,Saturday,5:00 PM,2/4/19 22:38,3174,99.4,Mesquite,Texas,75150,Used,D
82,A,1,14.53,14.53,0,4.53,10,USD,175837,Chinese,FALSE,1,5/3/19 0:08,5/3/19 0:39,5/3/19 0:39,Friday,12:00 AM,5/3/19 14:29,6,100,Fort Worth,Texas,76137,Used,D
83,A,1,13.83,13.83,0,4.53,9.3,USD,175837,Chinese,TRUE,2,5/30/19 21:08,6/6/19 21:08,6/6/19 21:08,Thursday,9:00 PM,6/8/19 5:10,0,0,Fort Worth,Texas,76109,Used,D
84,A,1,20.25,20.25,0,2.75,17.5,USD,2228,Chinese,FALSE,1,5/10/19 23:42,5/10/19 23:48,5/10/19 23:48,Friday,11:00 PM,5/13/19 7:42,227,100,Cleveland,Tennessee,37312,Good,D
85,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,3/23/19 21:48,3/23/19 21:48,3/23/19 21:48,Saturday,9:00 PM,3/24/19 20:17,1055,100,Hendersonville,Tennessee,37075,Used,D
86,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/29/19 4:49,5/29/19 2:30,5/29/19 2:30,Wednesday,2:00 AM,5/29/19 13:57,2019,99.8,Hendersonville,Tennessee,37075,Used,D
87,A,1,19.49,19.49,0,4.49,15,USD,175837,Chinese,FALSE,1,5/11/19 21:39,5/11/19 21:44,5/11/19 21:44,Saturday,9:00 PM,5/12/19 6:19,162,100,Hendersonville,Tennessee,37075,Used,D
88,A,1,19.49,19.49,0,4.49,15,USD,175837,FixedPriceItem,FALSE,0,6/12/19 17:18,6/12/19 17:24,6/12/19 17:24,Wednesday,5:00 PM,6/14/19 17:50,144,93.6,Memphis,Tennessee,38134,Used,D
89,A,1,19.49,19.49,0,4.49,15,USD,175837,FixedPriceItem,FALSE,0,3/28/19 23:18,3/28/19 23:18,3/28/19 23:18,Thursday,11:00 PM,3/29/19 0:32,13911,99.8,Memphis,Tennessee,38135,Used,D
90,A,1,18.99,18.99,0,0,18.99,USD,175837,FixedPriceItem,FALSE,0,4/9/19 20:25,4/9/19 20:25,4/9/19 20:25,Tuesday,8:00 PM,4/9/19 20:44,718,99.7,Memphis,Tennessee,38108,Used,D
91,A,1,20.7,20.7,0,6.7,14,USD,2228,FixedPriceItem,FALSE,0,1/12/19 16:38,1/12/19 16:38,1/12/19 16:38,Saturday,4:00 PM,1/14/19 16:20,8,100,Columbia,South Carolina,29210,Like New,D
92,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,2/5/19 20:39,2/5/19 20:39,2/5/19 20:39,Tuesday,8:00 PM,2/6/19 16:34,139,100,Greenville,South Carolina,29607,Used,D
93,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,5/15/19 15:19,5/15/19 15:24,5/15/19 15:24,Wednesday,3:00 PM,5/16/19 19:18,22,85.7,Greenville,South Carolina,29601,Used,D
94,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,2/27/19 16:39,2/27/19 16:39,2/27/19 16:39,Wednesday,4:00 PM,2/28/19 19:04,8928,99.5,Moncks Corner,South Carolina,29461,Used,D
95,A,1,19.81,19.81,0,4.53,15.28,USD,175837,Chinese,TRUE,5,6/1/19 0:28,6/8/19 0:28,6/8/19 0:28,Saturday,12:00 AM,6/8/19 20:34,20,100,Charleston,South Carolina,29412,Used,D
96,A,1,18.99,18.99,0,0,18.99,USD,175837,FixedPriceItem,FALSE,0,5/8/19 21:41,5/8/19 21:45,5/8/19 21:45,Wednesday,9:00 PM,5/9/19 20:48,908,98.8,Belton,South Carolina,29627,Used,D
97,A,1,18,18,0,0,18,USD,175837,FixedPriceItem,FALSE,0,5/21/19 20:55,5/21/19 20:59,5/21/19 20:59,Tuesday,8:00 PM,5/22/19 23:18,502,100,Anderson,South Carolina,29621,Used,D
98,A,1,15.99,15.99,0,4,11.99,USD,175837,Chinese,FALSE,1,7/3/19 0:59,7/3/19 1:04,7/3/19 1:04,Wednesday,1:00 AM,7/3/19 16:15,5032,99.7,Greenville,South Carolina,29611,Used,O
99,A,1,18.93,18.93,0,4.53,14.4,USD,175837,Chinese,FALSE,1,6/13/19 16:21,6/13/19 16:25,6/13/19 16:25,Thursday,4:00 PM,6/14/19 0:35,0,0,Riverside,Rhode Island,2915,Used,D
100,C,1,25.43,25.43,0,5.44,19.99,USD,9972,FixedPriceItem,FALSE,0,5/29/19 22:32,5/29/19 22:41,,Saturday,12:00 AM,5/30/19 9:27,55,100,Allentown,Pennsylvania,18104,Used,D
101,C,1,25,25,0,0,25,USD,908,FixedPriceItem,FALSE,0,1/25/19 16:43,5/7/19 1:38,,Saturday,12:00 AM,5/13/19 23:33,24,100,Philadelphia,Pennsylvania,19115,Used,S
102,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/1/19 0:16,5/1/19 0:21,5/1/19 0:21,Wednesday,12:00 AM,5/1/19 1:08,24,100,State College,Pennsylvania,16801,Used,D
103,A,1,19.79,19.79,0,4.49,15.3,USD,175837,Chinese,FALSE,1,5/13/19 0:12,5/13/19 0:18,5/13/19 0:18,Monday,12:00 AM,5/13/19 8:46,833,100,Hamburg,Pennsylvania,19526,Used,D
104,A,1,19.49,19.49,0,4.49,15,USD,175837,FixedPriceItem,FALSE,0,5/6/19 0:53,5/6/19 0:58,5/6/19 0:58,Monday,12:00 AM,5/6/19 1:09,140,100,Rimersburg,Pennsylvania,16248,Used,D
105,A,1,18.75,18.75,0,3.75,15,USD,175837,FixedPriceItem,FALSE,0,1/13/19 18:37,1/13/19 18:37,1/13/19 18:37,Sunday,6:00 PM,1/13/19 18:45,6,100,Berwyn,Pennsylvania,19312,Used,D
106,A,1,18.2,18.2,0,0,18.2,USD,11442,FixedPriceItem,FALSE,0,6/24/19 7:56,6/29/19 2:30,6/29/19 2:30,Saturday,2:00 AM,7/2/19 14:58,7,100,Youngwood,Pennsylvania,15697,Like New,O
107,A,1,16.49,16.49,0,4.49,12,USD,175837,FixedPriceItem,FALSE,0,1/31/19 17:56,1/31/19 17:56,1/31/19 17:56,Thursday,5:00 PM,2/4/19 12:06,0,0,Lancaster,Pennsylvania,17603,Used,D
108,P,4,15,60,0,0,60,USD,2228,FixedPriceItem,FALSE,0,1/22/19 21:37,1/22/19 21:37,1/22/19 21:37,Tuesday,9:00 PM,1/23/19 23:19,1005,98.8,Portland,Oregon,97202,Very Good,D
109,A,2,18,36,0,0,36,USD,2228,FixedPriceItem,FALSE,0,2/11/19 1:42,2/11/19 1:42,2/11/19 1:42,Monday,1:00 AM,2/11/19 18:27,11137,100,North Bend,Oregon,97459,Very Good,D
110,A,1,21,21,0,0,21,USD,2228,FixedPriceItem,FALSE,0,2/9/19 6:22,2/9/19 6:22,2/9/19 6:22,Saturday,6:00 AM,2/23/19 5:12,486,100,Eugene,Oregon,97401,Very Good,D
111,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,6/3/19 15:17,6/3/19 16:17,6/3/19 16:17,Monday,4:00 PM,6/4/19 2:58,157,100,Eugene,Oregon,97402,New,D
112,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,5/29/19 20:42,5/29/19 20:50,5/29/19 20:50,Wednesday,8:00 PM,5/29/19 21:37,160,100,Portland,Oregon,97233,Used,D
113,A,1,20,20,0,0,20,USD,2228,FixedPriceItem,FALSE,0,5/31/19 23:25,5/31/19 23:43,5/31/19 23:43,Friday,11:00 PM,6/2/19 9:04,16,100,Portland,Oregon,97206,Very Good,D
114,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,3/18/19 20:29,3/18/19 20:29,3/18/19 20:29,Monday,8:00 PM,3/18/19 20:56,388,100,Eugene,Oregon,97402,Used,D
115,A,1,19.99,19.99,0,0,19.99,USD,2228,FixedPriceItem,FALSE,0,5/23/19 0:45,5/23/19 0:49,5/23/19 0:49,Thursday,12:00 AM,5/23/19 22:31,2278,100,Independence,Oregon,97351,Very Good,D
116,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/30/19 22:14,5/30/19 22:18,5/30/19 22:18,Thursday,10:00 PM,5/31/19 6:20,2191,99.7,Eugene,Oregon,97408,Used,D
117,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/29/19 17:45,5/30/19 22:26,5/30/19 22:26,Thursday,10:00 PM,5/31/19 6:31,2191,99.7,Eugene,Oregon,97408,Used,D
